App ID,Name,Price,Genres,User Reviews,Positive Reviews,Negative Reviews,Owners,Average Playtime,Median Playtime,Developer,Publisher
2594720,Escape from Manimal Island,499.0,RPG,3,1,2,0 .. 20000,0,0,Mayhem Game Studios LLC,mayhemgamestudios
2594730,Daydream Mosaics 4: Shades of Blue,899.0,"Casual, Indie",2,2,0,0 .. 20000,0,0,Lucaciu Studio,Lucaciu Studio
2594860,Vorum,0.0,,0,0,0,0 .. 20000,0,0,,
2594940,Signal,0.0,,0,0,0,0 .. 20000,0,0,,
2594970,Botanical Chronicle,599.0,"Adventure, Casual, Indie",11,11,0,50000 .. 100000,0,0,Metapolis Games,Metapolis Games
3421930,Journey of the Lone Star,99.0,"Casual, Indie, Racing, Simulation",0,0,0,0 .. 20000,0,0,Lonely man,Lonely man
3421920,Riftborn,0.0,,0,0,0,0 .. 20000,0,0,,
3421950,Square 2048,99.0,Casual,0,0,0,0 .. 20000,0,0,me,me
3421970,,0.0,,0,0,0,0 .. 20000,0,0,,
3422000,Ward Off Evil,0.0,,0,0,0,0 .. 20000,0,0,,
3422120,,0.0,,0,0,0,0 .. 20000,0,0,,
3422200,Upward Bound,0.0,,0,0,0,0 .. 20000,0,0,,
3422290,The Way We All Go,0.0,,0,0,0,0 .. 20000,0,0,,
3422260,Mr Dookie Adventures,0.0,,0,0,0,0 .. 20000,0,0,,
3422360,Strayed - Sweet Tooth Revolver Skin,199.0,"Action, Adventure, Casual, Indie, Massively Multiplayer, Strategy",0,0,0,0 .. 20000,0,0,Crustacean Interactive,
2594980,Brickhaven,0.0,,0,0,0,0 .. 20000,0,0,,
2594830,ELEGIES: Aya - Artbook,249.0,"Adventure, Indie",0,0,0,0 .. 20000,0,0,Dream Squircle,Dream Squircle
3422320,SAIKA,0.0,,0,0,0,0 .. 20000,0,0,,
3422330,Cat Dog Go Adventure,0.0,,0,0,0,0 .. 20000,0,0,,
2594810,Pirates Of Gensokyo,0.0,,0,0,0,0 .. 20000,0,0,,
3421390,Bit-cremental: Fishistry Color,89.0,"Casual, Indie, Simulation",0,0,0,0 .. 20000,0,0,Inner Realm Studios,Inner Realm Studios
3421420,(Escape from the nightmare),0.0,,0,0,0,0 .. 20000,0,0,,
3421480,Lizard Survival Duo,0.0,,0,0,0,0 .. 20000,0,0,,
3421500,,0.0,,0,0,0,0 .. 20000,0,0,,
3421560,The Reformatory,0.0,,0,0,0,0 .. 20000,0,0,,
3421800,Swingin' Beats,0.0,,0,0,0,0 .. 20000,0,0,,
3421810,Manalia Notes -A memory of innocence-,0.0,,0,0,0,0 .. 20000,0,0,,
3421830,,0.0,,0,0,0,0 .. 20000,0,0,,
3421850,Circuit Maze,0.0,,0,0,0,0 .. 20000,0,0,,
3421600,Sakura Hime 5 - 18+ Adult Only Content,0.0,,0,0,0,0 .. 20000,0,0,,
3421690,Deforb,0.0,,0,0,0,0 .. 20000,0,0,,
3422010,Sam Vs A Lot of DJs - Public Prototype Version,0.0,,0,0,0,0 .. 20000,0,0,,
3421740,Garden Ink,0.0,,0,0,0,0 .. 20000,0,0,,
3421860,NO.8 High School,0.0,,0,0,0,0 .. 20000,0,0,,
